Totenham,#1 To Score 1 goal,#2 To Score 2 goals,#3 To Score 3 goals,#4 Make an assist,#5 Play >60 minutes,#6 Play full match,#7 Get a yellow card,#8 Get a red card (edited,#9 keeper_save( 3 saves) for GK
Michel Vorm,0.01,0,0,0.05,99,98,6.67,1.49,38
Toby Alderweireld,6.25,1.5,0.1,10,99,90,15.39,1.96,
Kieran Trippier,6.25,1.5,0.1,20,99,90,11.1,1.49,
Jan Vertonghen,6.25,1.5,0.1,10,99,95,20,2.44,
Danny Rose,6.25,1.5,0.1,14.2,99,85,25,2.94,
Christian Eriksen,21,4.25,0.66,28.6,99,98,9.09,1.49,
Heung-Min Son,25.7,7.3,1.31,18.1,70,40,14.29,1.96,
Eric Dier,8,2.3,0.12,12.5,99,80,18.18,2.44,
Mousa Dembélé,8,2.3,0.12,10,99,70,26.67,3.85,
Lucas Moura,23,5.7,1,22.2,99,95,14.29,1.96,
Harry Kane,34.95,12.6,4.15,16.6,99,98,18.19,2.44,
